archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,80C-E05 80C-E06 80C-E08 80C-E10 80C-E12 80C-E16 83C-E20 83C-E24 83C-E32,English,78,"Parker Fittings Catalog, PDF page 333",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,80,,Tooling Required,2015,Parker Hannifin,high,80C-E04,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-023,80C-E04,Tooling Required,item-cat-000011,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000011,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,23,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,333,80C-E04,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Die Part Number 80C-E04 80C-E05 80C-E06 80C-E08 80C-E10 80C-E12 80C-E16 83C-E20 83C-E24 83C-E32,37,Tooling Required,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-023', 'item-cat-000011']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,80C-V16 80C-V20 83C-V24 83C-V32,English,84,"Parker Fittings Catalog, PDF page 333",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,87,,Die Part Number 80C-V12 80C-V16 80C-V20 83C-V24 83C-V32,2015,Parker Hannifin,high,80C-V12,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-019,80C-V12,Die Part Number 80C-V12 80C-V16 80C-V20 83C-V24 83C-V32,item-cat-000012,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000012,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,25,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,333,80C-V12,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Die Part Number 80C-V12 80C-V16 80C-V20 83C-V24 83C-V32,37,Die Part Number 80C-V12 80C-V16 80C-V20 83C-V24 83C-V32,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-019', 'item-cat-000012']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,83C-D08 83C-D10 83C-D12 83C-D16 83C-D20 83C-D24 83C-D32,English,82,"Parker Fittings Catalog, PDF page 333",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,80,,Tooling Required,2015,Parker Hannifin,high,83C-D06,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-023,83C-D06,Tooling Required,item-cat-000013,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000013,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,333,83C-D06,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Die Part Number 83C-D06 83C-D08 83C-D10 83C-D12 83C-D16 83C-D20 83C-D24 83C-D32,37,Tooling Required,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-023', 'item-cat-000013']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,83C-L16 83C-L20 83C-L24 83C-L32,English,86,"Parker Fittings Catalog, PDF page 333",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,83,,Die Part Number 83C-L12 83C-L16 83C-L20 83C-L24 83C-L32,2015,Parker Hannifin,high,83C-L12,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-019,83C-L12,Die Part Number 83C-L12 83C-L16 83C-L20 83C-L24 83C-L32,item-cat-000014,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000014,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,333,83C-L12,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Die Part Number 83C-L12 83C-L16 83C-L20 83C-L24 83C-L32,37,Die Part Number 83C-L12 83C-L16 83C-L20 83C-L24 83C-L32,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-019', 'item-cat-000014']",
True,Historical catalog; technical reference,2015,Water Fittings / Couplings / Valves,pg-water-fittings,Water Fittings / Couplings / Valves,,Powered Pump,English,85,"Parker Fittings Catalog, PDF page 334",88,high,explicit_part_number,need-water-pumps-hoses-fittings,need-water-pumps-hoses-fittings,72,,D Air/Hydraulic Pump Vehicle Battery,2015,Parker Hannifin,medium,82C-0AP,need-water,78,Water / Fittings / Couplings,2,pg-water-fittings-page-004,82C-0AP,D Air/Hydraulic Pump Vehicle Battery,item-cat-000015,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000015,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,21,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,334,82C-0AP,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Part No. 82C-0AP Powered Pump,96,D Air/Hydraulic Pump Vehicle Battery,,pg-water-fittings,"['human-consumer', 'human-needs', 'need-water', 'need-water-pumps-hoses-fittings', 'pg-water-fittings', 'pg-water-fittings-page-004', 'item-cat-000015']",
True,Historical catalog; technical reference,2015,Water Fittings / Couplings / Valves,pg-water-fittings,Water Fittings / Couplings / Valves,,,English,85,"Parker Fittings Catalog, PDF page 334",88,high,explicit_part_number,need-water-pumps-hoses-fittings,need-water-pumps-hoses-fittings,78,,Electric Pump Electric Pump,2015,Parker Hannifin,medium,82C-0EP,need-water,78,Water / Fittings / Couplings,2,pg-water-fittings-page-004,82C-0EP,Electric Pump Electric Pump,item-cat-000016,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000016,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,18,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,334,82C-0EP,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Part No. 82C-0EP Part No. 85C-0EP,96,Electric Pump Electric Pump,,pg-water-fittings,"['human-consumer', 'human-needs', 'need-water', 'need-water-pumps-hoses-fittings', 'pg-water-fittings', 'pg-water-fittings-page-004', 'item-cat-000016']",
True,Historical catalog; technical reference,2015,Water Fittings / Couplings / Valves,pg-water-fittings,Water Fittings / Couplings / Valves,,,English,78,"Parker Fittings Catalog, PDF page 334",88,high,explicit_part_number,need-water-pumps-hoses-fittings,need-water-pumps-hoses-fittings,78,,Hand Pump Hand Pump,2015,Parker Hannifin,medium,82C-0HP,need-water,78,Water / Fittings / Couplings,2,pg-water-fittings-page-004,82C-0HP,Hand Pump Hand Pump,item-cat-000017,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000017,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,334,82C-0HP,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Part No. 82C-0HP Part No. 85C-0HP,96,Hand Pump Hand Pump,,pg-water-fittings,"['human-consumer', 'human-needs', 'need-water', 'need-water-pumps-hoses-fittings', 'pg-water-fittings', 'pg-water-fittings-page-004', 'item-cat-000017']",
True,Historical catalog; technical reference,2015,Water Fittings / Couplings / Valves,pg-water-fittings,Water Fittings / Couplings / Valves,,,English,83,"Parker Fittings Catalog, PDF page 334",88,high,explicit_part_number,need-water-pumps-hoses-fittings,need-water-pumps-hoses-fittings,73,,Electric Pump Electric Pump,2015,Parker Hannifin,medium,85C-0EP,need-water,78,Water / Fittings / Couplings,2,pg-water-fittings-page-004,85C-0EP,Electric Pump Electric Pump,item-cat-000018,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000018,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,23,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,334,85C-0EP,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Part No. 82C-0EP Part No. 85C-0EP,96,Electric Pump Electric Pump,,pg-water-fittings,"['human-consumer', 'human-needs', 'need-water', 'need-water-pumps-hoses-fittings', 'pg-water-fittings', 'pg-water-fittings-page-004', 'item-cat-000018']",
True,Historical catalog; technical reference,2015,Water Fittings / Couplings / Valves,pg-water-fittings,Water Fittings / Couplings / Valves,,,English,82,"Parker Fittings Catalog, PDF page 334",88,high,explicit_part_number,need-water-pumps-hoses-fittings,need-water-pumps-hoses-fittings,76,,Hand Pump Hand Pump,2015,Parker Hannifin,medium,85C-0HP,need-water,78,Water / Fittings / Couplings,2,pg-water-fittings-page-004,85C-0HP,Hand Pump Hand Pump,item-cat-000019,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000019,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,25,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,334,85C-0HP,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Part No. 82C-0HP Part No. 85C-0HP,96,Hand Pump Hand Pump,,pg-water-fittings,"['human-consumer', 'human-needs', 'need-water', 'need-water-pumps-hoses-fittings', 'pg-water-fittings', 'pg-water-fittings-page-004', 'item-cat-000019']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,Gates Conversion Kit,English,85,"Parker Fittings Catalog, PDF page 340",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,79,,Gates Conversion Kit,2015,Parker Hannifin,high,8GC-002,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-020,8GC-002,Gates Conversion Kit,item-cat-000020,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000020,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,25,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,340,8GC-002,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Part No. 8GC-002,37,Gates Conversion Kit,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-020', 'item-cat-000020']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,Hydraulic Press Kit,English,78,"Parker Fittings Catalog, PDF page 340",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,80,,Hydraulic Press Kit,2015,Parker Hannifin,high,8PC-001,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-020,8PC-001,Hydraulic Press Kit,item-cat-000021,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000021,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,26,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,340,8PC-001,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Part No. 8PC-001,37,Hydraulic Press Kit,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-020', 'item-cat-000021']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,B Weatherhead Conversion Kit,English,81,"Parker Fittings Catalog, PDF page 340",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,81,,B Weatherhead Conversion Kit,2015,Parker Hannifin,high,8WC-001,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-016,8WC-001,B Weatherhead Conversion Kit,item-cat-000022,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000022,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,340,8WC-001,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Part No. 8WC-001,37,B Weatherhead Conversion Kit,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-016', 'item-cat-000022']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,,English,78,"Parker Fittings Catalog, PDF page 341",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,79,,Hose Cut-Off Machine Hose Cut-Off Machine,2015,Parker Hannifin,high,TH3-51,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-020,TH3-51,Hose Cut-Off Machine Hose Cut-Off Machine,item-cat-000023,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000023,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,16,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,341,TH3-51,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Part No. TH3-51 Part No. 239 and 339,37,Hose Cut-Off Machine Hose Cut-Off Machine,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-020', 'item-cat-000023']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,,English,85,"Parker Fittings Catalog, PDF page 342",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,81,,Ultra Clean Hose Cleaning Kit,2015,Parker Hannifin,high,TH6-10-EL-7,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-023,TH6-10-EL-7,Ultra Clean Hose Cleaning Kit,item-cat-000024,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000024,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,342,TH6-10-EL-7,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Part No. TH6-10-HL-9-2 Part No. TH6-10-EL-7,37,Ultra Clean Hose Cleaning Kit,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-023', 'item-cat-000024']",
